upgrade,n_train,n_valid,rmse_valid,mae_valid,best_iter
heating_efficiency,20892,5223,27.6741914092016,3.22166971425073,66
insulation_roof,20892,5223,131.767352809951,81.7349484440758,145
insulation_wall,20892,5223,212.00372498591,97.7320125954747,161
windows,20892,5223,111.185818513746,73.5666754018974,59
