row_id,top1,top2,top3,delta_CO2_1,delta_CO2_2,delta_CO2_3,score_1,score_2,score_3
1,insulation_wall,windows,insulation_roof,384.456163641703,63.7556243378513,46.0711594753284,384.456163641703,63.7556243378513,46.0711594753284
2,insulation_wall,insulation_roof,windows,1131.90327944761,804.486034955888,0,1131.90327944761,804.486034955888,0
3,insulation_wall,windows,insulation_roof,709.253629628794,119.487012701111,18.8329870183443,709.253629628794,119.487012701111,18.8329870183443
4,insulation_wall,insulation_roof,windows,145.748398066467,16.4040645955356,0,145.748398066467,16.4040645955356,0
5,insulation_wall,insulation_roof,windows,696.15067555364,71.7619474725252,7.89949113344392,696.15067555364,71.7619474725252,7.89949113344392
6,insulation_wall,insulation_roof,windows,1400.44011318629,479.629780931133,0,1400.44011318629,479.629780931133,0
7,insulation_wall,windows,insulation_roof,1274.19087668718,299.943359869545,234.356405960396,1274.19087668718,299.943359869545,234.356405960396
8,insulation_wall,insulation_roof,windows,1051.86735666567,620.985858111295,5.81071796285687,1051.86735666567,620.985858111295,5.81071796285687
9,insulation_wall,windows,insulation_roof,400.677730382896,81.3482407812489,20.9354992303324,400.677730382896,81.3482407812489,20.9354992303324
10,insulation_wall,insulation_roof,windows,232.201080602352,31.2646025858876,11.8291304214454,232.201080602352,31.2646025858876,11.8291304214454
11,insulation_wall,windows,insulation_roof,171.408566182727,67.1130114371367,50.8470831951568,171.408566182727,67.1130114371367,50.8470831951568
12,insulation_wall,insulation_roof,windows,456.438431422133,133.297663578714,53.5710757312591,456.438431422133,133.297663578714,53.5710757312591
13,insulation_wall,windows,insulation_roof,271.91117789745,142.580516332483,32.8257496936631,271.91117789745,142.580516332483,32.8257496936631
14,insulation_wall,windows,insulation_roof,256.648444480448,125.913770463385,7.13114352928642,256.648444480448,125.913770463385,7.13114352928642
15,insulation_wall,windows,insulation_roof,159.989235109871,35.0376045878766,13.0678132297589,159.989235109871,35.0376045878766,13.0678132297589
16,insulation_wall,windows,insulation_roof,555.811308870402,57.8417719356767,29.7992784430535,555.811308870402,57.8417719356767,29.7992784430535
17,insulation_wall,windows,insulation_roof,134.848009438835,127.135667392316,120.965767801031,134.848009438835,127.135667392316,120.965767801031
18,insulation_roof,insulation_wall,windows,90.6122115012381,26.6648403030899,24.9719515637712,90.6122115012381,26.6648403030899,24.9719515637712
19,insulation_wall,insulation_roof,windows,943.112062746464,128.838756575578,0,943.112062746464,128.838756575578,0
20,insulation_wall,insulation_roof,windows,1070.60087526196,433.741188977956,52.8237250172661,1070.60087526196,433.741188977956,52.8237250172661
21,insulation_wall,insulation_roof,windows,1181.35288967292,432.21028302872,0,1181.35288967292,432.21028302872,0
22,insulation_wall,insulation_roof,windows,744.242527334818,241.704315472971,0,744.242527334818,241.704315472971,0
23,insulation_roof,insulation_wall,windows,974.125132836356,861.352816779807,0,974.125132836356,861.352816779807,0
