County,DwellingTypeDescr,AgeBand,CO2_decile,N
Sligo,Detached house,G,"(7.83e+03,9.82e+03]",7
Limerick,Detached house,I,"(4.78e+03,5.57e+03]",7
Leitrim,Detached house,I,"(6.56e+03,7.83e+03]",7
Offaly,Detached house,I,"(9.82e+03,3.55e+04]",7
Cork,Detached house,J,"(3.1e+03,3.65e+03]",7
Carlow,Detached house,H,"(9.82e+03,3.55e+04]",7
Wicklow,Detached house,J,"(4.78e+03,5.57e+03]",7
Waterford,Detached house,H,"(9.82e+03,3.55e+04]",7
Carlow,Detached house,I,"(9.82e+03,3.55e+04]",7
Sligo,Detached house,J,"(6.56e+03,7.83e+03]",7
Galway,Detached house,J,"(3.65e+03,4.22e+03]",7
Laois,Detached house,J,"(3.65e+03,4.22e+03]",7
Galway,Mid-terrace house,I,"(3.65e+03,4.22e+03]",7
Cork,Mid-terrace house,F,"[324,2.5e+03]",7
Offaly,Mid-terrace house,J,"(7.83e+03,9.82e+03]",7
Cork,Mid-terrace house,F,"(2.5e+03,3.1e+03]",7
Cork,House,I,"(7.83e+03,9.82e+03]",7
Wexford,House,I,"(5.57e+03,6.56e+03]",7
Cork,Semi-detached house,D,"(5.57e+03,6.56e+03]",6
Dublin,Semi-detached house,C,"(4.78e+03,5.57e+03]",6
Cork,Semi-detached house,D,"(6.56e+03,7.83e+03]",6
Dublin,End of terrace house,C,"(6.56e+03,7.83e+03]",6
Dublin,End of terrace house,B,"(7.83e+03,9.82e+03]",6
Dublin,End of terrace house,D,"(3.65e+03,4.22e+03]",6
Dublin,Detached house,D,"(5.57e+03,6.56e+03]",6
Clare,Detached house,D,"(9.82e+03,3.55e+04]",6
Roscommon,Detached house,C,"(6.56e+03,7.83e+03]",6
Mayo,Detached house,B,"(7.83e+03,9.82e+03]",6
Laois,Detached house,E,"(9.82e+03,3.55e+04]",6
Galway,Detached house,C,"(6.56e+03,7.83e+03]",6
Leitrim,Detached house,B,"(9.82e+03,3.55e+04]",6
Mayo,Detached house,C,"(6.56e+03,7.83e+03]",6
Sligo,Detached house,B,"(9.82e+03,3.55e+04]",6
Waterford,Detached house,E,"(6.56e+03,7.83e+03]",6
Cork,Detached house,E,"(4.22e+03,4.78e+03]",6
Sligo,Detached house,C,"(9.82e+03,3.55e+04]",6
Louth,Detached house,D,"(6.56e+03,7.83e+03]",6
Westmeath,Detached house,D,"(7.83e+03,9.82e+03]",6
Leitrim,Detached house,E,"(9.82e+03,3.55e+04]",6
Louth,Detached house,E,"(6.56e+03,7.83e+03]",6
Wicklow,Detached house,D,"(9.82e+03,3.55e+04]",6
Dublin,Detached house,B,"(7.83e+03,9.82e+03]",6
Cork,Detached house,B,"(7.83e+03,9.82e+03]",6
Galway,Detached house,E,"(4.78e+03,5.57e+03]",6
Laois,Detached house,D,"(9.82e+03,3.55e+04]",6
Louth,Detached house,B,"(9.82e+03,3.55e+04]",6
Dublin,Detached house,E,"(4.78e+03,5.57e+03]",6
Meath,Detached house,B,"(7.83e+03,9.82e+03]",6
Meath,Detached house,D,"(7.83e+03,9.82e+03]",6
Dublin,Detached house,A,"(9.82e+03,3.55e+04]",6
Dublin,Detached house,J,"(2.5e+03,3.1e+03]",6
Carlow,Semi-detached house,H,"(4.22e+03,4.78e+03]",6
Wexford,Semi-detached house,I,"(7.83e+03,9.82e+03]",6
Wexford,Semi-detached house,I,"(3.1e+03,3.65e+03]",6
Wicklow,Semi-detached house,J,"(3.1e+03,3.65e+03]",6
Waterford,Detached house,F,"(9.82e+03,3.55e+04]",6
Clare,Detached house,F,"(9.82e+03,3.55e+04]",6
Wexford,Detached house,H,"(9.82e+03,3.55e+04]",6
Longford,Detached house,F,"(9.82e+03,3.55e+04]",6
Mayo,Detached house,J,"(4.78e+03,5.57e+03]",6
Wexford,Detached house,F,"(7.83e+03,9.82e+03]",6
Roscommon,Detached house,G,"(9.82e+03,3.55e+04]",6
Mayo,Detached house,F,"(7.83e+03,9.82e+03]",6
Galway,Detached house,G,"(4.22e+03,4.78e+03]",6
Westmeath,Detached house,H,"(5.57e+03,6.56e+03]",6
Mayo,Detached house,G,"(5.57e+03,6.56e+03]",6
Kildare,Detached house,F,"(9.82e+03,3.55e+04]",6
Westmeath,Detached house,H,"(6.56e+03,7.83e+03]",6
Roscommon,Detached house,J,"(6.56e+03,7.83e+03]",6
Wicklow,Detached house,F,"(9.82e+03,3.55e+04]",6
Louth,Detached house,G,"(7.83e+03,9.82e+03]",6
Limerick,Detached house,I,"(9.82e+03,3.55e+04]",6
Limerick,Detached house,I,"(4.22e+03,4.78e+03]",6
Wexford,Detached house,F,"(6.56e+03,7.83e+03]",6
Waterford,Detached house,I,"(7.83e+03,9.82e+03]",6
Louth,Detached house,G,"(9.82e+03,3.55e+04]",6
Offaly,Detached house,H,"(5.57e+03,6.56e+03]",6
Westmeath,Detached house,G,"(5.57e+03,6.56e+03]",6
Roscommon,Detached house,G,"(7.83e+03,9.82e+03]",6
Leitrim,Detached house,I,"(5.57e+03,6.56e+03]",6
Dublin,Detached house,H,"(3.1e+03,3.65e+03]",6
Kildare,Detached house,J,"(6.56e+03,7.83e+03]",6
Waterford,Detached house,J,"(4.78e+03,5.57e+03]",6
Clare,Detached house,F,"(6.56e+03,7.83e+03]",6
Laois,Detached house,G,"(6.56e+03,7.83e+03]",6
Carlow,Detached house,H,"(5.57e+03,6.56e+03]",6
Wicklow,Detached house,I,"(4.22e+03,4.78e+03]",6
Wicklow,Detached house,J,"(6.56e+03,7.83e+03]",6
Kilkenny,Detached house,G,"(9.82e+03,3.55e+04]",6
Laois,Detached house,G,"(9.82e+03,3.55e+04]",6
Louth,Detached house,I,"(5.57e+03,6.56e+03]",6
Galway,House,H,"(5.57e+03,6.56e+03]",6
Clare,House,I,"(7.83e+03,9.82e+03]",6
Wicklow,Ground-floor apartment,I,"[324,2.5e+03]",6
Cork,Ground-floor apartment,I,"(2.5e+03,3.1e+03]",6
Limerick,Ground-floor apartment,I,"(3.1e+03,3.65e+03]",6
Limerick,Ground-floor apartment,I,"[324,2.5e+03]",6
Kildare,Ground-floor apartment,I,"(3.1e+03,3.65e+03]",6
Carlow,Ground-floor apartment,J,"(2.5e+03,3.1e+03]",6
Wicklow,Semi-detached house,F,"(4.78e+03,5.57e+03]",6
Longford,Detached house,I,"(5.57e+03,6.56e+03]",6
Cork,House,G,"(7.83e+03,9.82e+03]",6
Clare,House,G,"(6.56e+03,7.83e+03]",6
Kerry,House,H,"(7.83e+03,9.82e+03]",6
Cork,Ground-floor apartment,I,"(3.65e+03,4.22e+03]",6
Dublin,Ground-floor apartment,I,"(4.22e+03,4.78e+03]",6
Dublin,Ground-floor apartment,G,"(4.78e+03,5.57e+03]",6
Galway,Ground-floor apartment,J,"(3.1e+03,3.65e+03]",6
Limerick,Ground-floor apartment,J,"(3.65e+03,4.22e+03]",6
Dublin,Maisonette,J,"(3.65e+03,4.22e+03]",6
Clare,House,H,"(6.56e+03,7.83e+03]",6
Dublin,Mid-floor apartment,C,"(2.5e+03,3.1e+03]",6
Dublin,Mid-floor apartment,E,"(3.1e+03,3.65e+03]",6
Kildare,Top-floor apartment,J,"(2.5e+03,3.1e+03]",6
Limerick,Mid-floor apartment,I,"(2.5e+03,3.1e+03]",6
Cork,Mid-floor apartment,I,"(2.5e+03,3.1e+03]",6
Dublin,Mid-floor apartment,I,"(3.65e+03,4.22e+03]",6
Dublin,Semi-detached house,D,"(4.22e+03,4.78e+03]",6
Dublin,End of terrace house,D,"(2.5e+03,3.1e+03]",6
Dublin,Mid-terrace house,D,"(9.82e+03,3.55e+04]",6
Dublin,Mid-terrace house,E,"[324,2.5e+03]",6
Dublin,Mid-terrace house,C,"(2.5e+03,3.1e+03]",6
Cork,Mid-terrace house,E,"(3.65e+03,4.22e+03]",6
Dublin,Mid-terrace house,C,"(6.56e+03,7.83e+03]",6
Dublin,Mid-terrace house,A,"(6.56e+03,7.83e+03]",6
Kerry,Semi-detached house,K,"[324,2.5e+03]",6
Dublin,Semi-detached house,K,"(3.65e+03,4.22e+03]",6
Clare,Semi-detached house,J,"(3.1e+03,3.65e+03]",6
Louth,Semi-detached house,J,"[324,2.5e+03]",6
Galway,Semi-detached house,J,"(2.5e+03,3.1e+03]",6
Cork,End of terrace house,K,"[324,2.5e+03]",6
Meath,End of terrace house,J,"(3.1e+03,3.65e+03]",6
Cork,Detached house,J,"(2.5e+03,3.1e+03]",6
Laois,Detached house,J,"(3.1e+03,3.65e+03]",6
Meath,Mid-terrace house,J,"[324,2.5e+03]",6
Mayo,House,J,"(7.83e+03,9.82e+03]",6
Cavan,Semi-detached house,I,"(3.65e+03,4.22e+03]",6
Leitrim,Semi-detached house,I,"(5.57e+03,6.56e+03]",6
Clare,Semi-detached house,G,"(6.56e+03,7.83e+03]",6
Meath,Semi-detached house,H,"(3.1e+03,3.65e+03]",6
Galway,Semi-detached house,I,"(6.56e+03,7.83e+03]",6
Limerick,Semi-detached house,F,"(5.57e+03,6.56e+03]",6
Kilkenny,Semi-detached house,I,"(4.78e+03,5.57e+03]",6
Waterford,Semi-detached house,H,"(3.1e+03,3.65e+03]",6
Waterford,Semi-detached house,G,"(3.65e+03,4.22e+03]",6
Louth,Semi-detached house,J,"(4.22e+03,4.78e+03]",6
Kilkenny,Semi-detached house,J,"(4.78e+03,5.57e+03]",6
Westmeath,Semi-detached house,J,"(4.78e+03,5.57e+03]",6
Kerry,Semi-detached house,G,"(4.78e+03,5.57e+03]",6
Tipperary,Semi-detached house,H,"(4.22e+03,4.78e+03]",6
Carlow,Semi-detached house,I,"(4.78e+03,5.57e+03]",6
Donegal,Semi-detached house,H,"(3.65e+03,4.22e+03]",6
Mayo,Semi-detached house,I,"(6.56e+03,7.83e+03]",6
Tipperary,Semi-detached house,I,"(6.56e+03,7.83e+03]",6
Louth,Semi-detached house,H,"(2.5e+03,3.1e+03]",6
Louth,Semi-detached house,I,"(5.57e+03,6.56e+03]",6
Wexford,Semi-detached house,G,"(3.65e+03,4.22e+03]",6
Kildare,Semi-detached house,J,"(4.78e+03,5.57e+03]",6
Louth,Semi-detached house,H,"(4.22e+03,4.78e+03]",6
Laois,Semi-detached house,I,"(7.83e+03,9.82e+03]",6
Kerry,Semi-detached house,H,"(3.65e+03,4.22e+03]",6
Monaghan,Semi-detached house,J,"(3.65e+03,4.22e+03]",6
Offaly,Semi-detached house,I,"(3.65e+03,4.22e+03]",6
Kilkenny,Semi-detached house,I,"(3.65e+03,4.22e+03]",6
Wicklow,Semi-detached house,G,"(3.1e+03,3.65e+03]",6
Carlow,Semi-detached house,H,"(3.1e+03,3.65e+03]",6
Tipperary,Semi-detached house,I,"(2.5e+03,3.1e+03]",6
Waterford,Semi-detached house,J,"(2.5e+03,3.1e+03]",6
Limerick,Semi-detached house,G,"(3.1e+03,3.65e+03]",6
Wexford,Semi-detached house,J,"(5.57e+03,6.56e+03]",6
Clare,Semi-detached house,H,"(4.78e+03,5.57e+03]",6
Longford,Semi-detached house,J,"(4.22e+03,4.78e+03]",6
Galway,End of terrace house,J,"(4.22e+03,4.78e+03]",6
Cork,End of terrace house,I,"(4.22e+03,4.78e+03]",6
Dublin,End of terrace house,F,"(5.57e+03,6.56e+03]",6
Meath,End of terrace house,I,"(3.1e+03,3.65e+03]",6
Dublin,End of terrace house,F,"[324,2.5e+03]",6
Wexford,End of terrace house,J,"(3.65e+03,4.22e+03]",6
Cork,End of terrace house,I,"(3.1e+03,3.65e+03]",6
Dublin,End of terrace house,I,"[324,2.5e+03]",6
Kildare,Detached house,I,"(3.65e+03,4.22e+03]",6
Cork,Detached house,I,"(3.1e+03,3.65e+03]",6
Kildare,Detached house,I,"(4.22e+03,4.78e+03]",6
Cavan,Detached house,J,"(4.78e+03,5.57e+03]",6
Monaghan,Detached house,J,"(7.83e+03,9.82e+03]",6
Monaghan,Detached house,I,"(9.82e+03,3.55e+04]",6
Cavan,Detached house,I,"(4.78e+03,5.57e+03]",6
Cavan,Detached house,H,"(9.82e+03,3.55e+04]",6
Kerry,Detached house,J,"(9.82e+03,3.55e+04]",6
Dublin,Detached house,I,"(9.82e+03,3.55e+04]",6
Kilkenny,Detached house,I,"(9.82e+03,3.55e+04]",6
Sligo,Detached house,F,"(9.82e+03,3.55e+04]",6
Kilkenny,Detached house,J,"(6.56e+03,7.83e+03]",6
Waterford,Detached house,J,"(4.22e+03,4.78e+03]",6
Kildare,Detached house,J,"(7.83e+03,9.82e+03]",6
Louth,Detached house,J,"(4.22e+03,4.78e+03]",6
Limerick,Detached house,H,"(9.82e+03,3.55e+04]",6
Dublin,Detached house,J,"(7.83e+03,9.82e+03]",6
Kilkenny,Detached house,J,"(5.57e+03,6.56e+03]",6
Louth,Detached house,J,"(5.57e+03,6.56e+03]",6
Wexford,Detached house,J,"(9.82e+03,3.55e+04]",6
Galway,Mid-terrace house,F,"(7.83e+03,9.82e+03]",6
Dublin,Mid-terrace house,G,"(4.78e+03,5.57e+03]",6
Louth,Mid-terrace house,J,"(3.1e+03,3.65e+03]",6
Galway,Mid-terrace house,I,"(2.5e+03,3.1e+03]",6
Wicklow,Mid-terrace house,I,"(3.1e+03,3.65e+03]",6
Dublin,Mid-terrace house,I,"(4.22e+03,4.78e+03]",6
Wexford,Mid-terrace house,I,"(3.1e+03,3.65e+03]",6
Kilkenny,Mid-terrace house,J,"(3.1e+03,3.65e+03]",6
Waterford,Mid-terrace house,G,"(3.1e+03,3.65e+03]",6
Clare,Mid-terrace house,G,"(3.65e+03,4.22e+03]",6
Cork,Mid-terrace house,G,"[324,2.5e+03]",6
Dublin,Mid-terrace house,I,"(4.78e+03,5.57e+03]",6
Louth,Mid-terrace house,I,"(3.1e+03,3.65e+03]",6
Offaly,Mid-terrace house,I,"(6.56e+03,7.83e+03]",6
Louth,Mid-terrace house,H,"(2.5e+03,3.1e+03]",6
Meath,Mid-terrace house,I,"[324,2.5e+03]",6
Louth,Mid-terrace house,J,"[324,2.5e+03]",6
Cork,Mid-terrace house,F,"(4.22e+03,4.78e+03]",6
Dublin,Mid-terrace house,K,"(2.5e+03,3.1e+03]",6
Carlow,Mid-terrace house,J,"(2.5e+03,3.1e+03]",6
Dublin,Maisonette,I,"[324,2.5e+03]",6
Kerry,House,I,"(7.83e+03,9.82e+03]",6
Clare,House,I,"(9.82e+03,3.55e+04]",6
Dublin,Maisonette,I,"(3.65e+03,4.22e+03]",6
Cork,Mid-terrace house,K,"[324,2.5e+03]",6
Cork,Mid-terrace house,A,"(9.82e+03,3.55e+04]",6
Limerick,Mid-terrace house,H,"(4.22e+03,4.78e+03]",5
Cork,Semi-detached house,D,"(9.82e+03,3.55e+04]",5
Kildare,Semi-detached house,D,"(7.83e+03,9.82e+03]",5
Galway,Semi-detached house,D,"(9.82e+03,3.55e+04]",5
Dublin,End of terrace house,C,"(3.65e+03,4.22e+03]",5
Meath,Detached house,E,"(4.78e+03,5.57e+03]",5
Westmeath,Detached house,E,"(7.83e+03,9.82e+03]",5
Offaly,Detached house,B,"(7.83e+03,9.82e+03]",5
Tipperary,Detached house,D,"(6.56e+03,7.83e+03]",5
Clare,Detached house,E,"(6.56e+03,7.83e+03]",5
Wicklow,Detached house,C,"(9.82e+03,3.55e+04]",5
Meath,Detached house,D,"(4.78e+03,5.57e+03]",5
Wexford,Detached house,C,"(9.82e+03,3.55e+04]",5
Monaghan,Detached house,E,"(9.82e+03,3.55e+04]",5
Galway,Detached house,B,"(7.83e+03,9.82e+03]",5
Tipperary,Detached house,B,"(9.82e+03,3.55e+04]",5
Offaly,Detached house,D,"(9.82e+03,3.55e+04]",5
Laois,Detached house,B,"(7.83e+03,9.82e+03]",5
Tipperary,Detached house,B,"(7.83e+03,9.82e+03]",5
Laois,Detached house,A,"(9.82e+03,3.55e+04]",5
Tipperary,Detached house,C,"(5.57e+03,6.56e+03]",5
Kildare,Detached house,B,"(9.82e+03,3.55e+04]",5
Waterford,Detached house,C,"(7.83e+03,9.82e+03]",5
Offaly,Detached house,C,"(9.82e+03,3.55e+04]",5
Cork,Detached house,D,"(4.78e+03,5.57e+03]",5
Limerick,Detached house,A,"(9.82e+03,3.55e+04]",5
Waterford,Detached house,E,"(7.83e+03,9.82e+03]",5
Meath,Detached house,D,"(6.56e+03,7.83e+03]",5
Kildare,Detached house,D,"(7.83e+03,9.82e+03]",5
Clare,Detached house,E,"(5.57e+03,6.56e+03]",5
Cork,Detached house,C,"(5.57e+03,6.56e+03]",5
Carlow,Detached house,E,"(7.83e+03,9.82e+03]",5
Kerry,Detached house,D,"(5.57e+03,6.56e+03]",5
Wexford,Detached house,D,"(7.83e+03,9.82e+03]",5
Kildare,Detached house,D,"(6.56e+03,7.83e+03]",5
Clare,Detached house,D,"(5.57e+03,6.56e+03]",5
Kerry,Detached house,E,"(4.78e+03,5.57e+03]",5
Tipperary,Detached house,E,"(4.22e+03,4.78e+03]",5
Roscommon,Detached house,D,"(6.56e+03,7.83e+03]",5
Kildare,Ground-floor apartment,K,"[324,2.5e+03]",5
Offaly,Semi-detached house,I,"(7.83e+03,9.82e+03]",5
Cork,End of terrace house,F,"(3.1e+03,3.65e+03]",5
Roscommon,Detached house,F,"(6.56e+03,7.83e+03]",5
Westmeath,Detached house,F,"(9.82e+03,3.55e+04]",5
Kerry,Detached house,H,"(4.78e+03,5.57e+03]",5
Meath,Detached house,F,"(5.57e+03,6.56e+03]",5
Wicklow,Detached house,H,"(9.82e+03,3.55e+04]",5
Galway,Detached house,G,"(4.78e+03,5.57e+03]",5
Tipperary,Detached house,I,"(4.78e+03,5.57e+03]",5
Longford,Detached house,I,"(7.83e+03,9.82e+03]",5
Tipperary,Detached house,F,"(6.56e+03,7.83e+03]",5
Waterford,Detached house,G,"(6.56e+03,7.83e+03]",5
Kildare,Detached house,F,"(5.57e+03,6.56e+03]",5
Monaghan,Detached house,I,"(7.83e+03,9.82e+03]",5
Limerick,Detached house,F,"(6.56e+03,7.83e+03]",5
Cavan,Detached house,G,"(7.83e+03,9.82e+03]",5
Kildare,Detached house,F,"(4.78e+03,5.57e+03]",5
Sligo,Detached house,I,"(9.82e+03,3.55e+04]",5
Cavan,Detached house,I,"(4.22e+03,4.78e+03]",5
Tipperary,Detached house,J,"(4.22e+03,4.78e+03]",5
Offaly,Detached house,H,"(7.83e+03,9.82e+03]",5
Offaly,Detached house,I,"(6.56e+03,7.83e+03]",5
Wexford,Detached house,J,"(4.78e+03,5.57e+03]",5
Mayo,Detached house,F,"(6.56e+03,7.83e+03]",5
Kildare,Detached house,G,"(4.78e+03,5.57e+03]",5
Offaly,Detached house,G,"(6.56e+03,7.83e+03]",5
Wicklow,Detached house,G,"(9.82e+03,3.55e+04]",5
Waterford,Detached house,G,"(7.83e+03,9.82e+03]",5
Roscommon,Detached house,F,"(9.82e+03,3.55e+04]",5
Mayo,Detached house,H,"(4.78e+03,5.57e+03]",5
Meath,Detached house,I,"(3.65e+03,4.22e+03]",5
Roscommon,Detached house,J,"(5.57e+03,6.56e+03]",5
Galway,Detached house,J,"(4.22e+03,4.78e+03]",5
Tipperary,Detached house,J,"(7.83e+03,9.82e+03]",5
Roscommon,Detached house,F,"(7.83e+03,9.82e+03]",5
Meath,Detached house,H,"(4.22e+03,4.78e+03]",5
Limerick,Detached house,J,"(6.56e+03,7.83e+03]",5
Wexford,Detached house,K,"(2.5e+03,3.1e+03]",5
Laois,Detached house,H,"(6.56e+03,7.83e+03]",5
Tipperary,Detached house,G,"(5.57e+03,6.56e+03]",5
Waterford,Detached house,J,"(7.83e+03,9.82e+03]",5
Kildare,Detached house,K,"(3.65e+03,4.22e+03]",5
Kilkenny,Detached house,J,"(7.83e+03,9.82e+03]",5
Tipperary,Detached house,F,"(7.83e+03,9.82e+03]",5
Carlow,Detached house,J,"(6.56e+03,7.83e+03]",5
Wexford,Detached house,H,"(4.22e+03,4.78e+03]",5
Kilkenny,Detached house,G,"(7.83e+03,9.82e+03]",5
Meath,Detached house,H,"(4.78e+03,5.57e+03]",5
Laois,Detached house,J,"(7.83e+03,9.82e+03]",5
Carlow,Detached house,J,"(7.83e+03,9.82e+03]",5
Clare,Mid-terrace house,J,"(2.5e+03,3.1e+03]",5
Galway,House,I,"(5.57e+03,6.56e+03]",5
Galway,House,I,"(6.56e+03,7.83e+03]",5
Mayo,House,G,"(6.56e+03,7.83e+03]",5
Donegal,House,H,"(5.57e+03,6.56e+03]",5
Galway,House,H,"(6.56e+03,7.83e+03]",5
Cork,House,G,"(9.82e+03,3.55e+04]",5
Clare,House,G,"(7.83e+03,9.82e+03]",5
Cork,House,I,"(6.56e+03,7.83e+03]",5
Waterford,Ground-floor apartment,J,"[324,2.5e+03]",5
Meath,Ground-floor apartment,I,"(2.5e+03,3.1e+03]",5
Tipperary,Semi-detached house,G,"(7.83e+03,9.82e+03]",5
Kilkenny,Detached house,H,"(6.56e+03,7.83e+03]",5
Wicklow,Ground-floor apartment,J,"(2.5e+03,3.1e+03]",5
Cork,Ground-floor apartment,I,"[324,2.5e+03]",5
Cork,Ground-floor apartment,J,"(3.1e+03,3.65e+03]",5
Wicklow,Detached house,F,"(6.56e+03,7.83e+03]",5
Dublin,Maisonette,H,"(2.5e+03,3.1e+03]",5
Galway,House,I,"(7.83e+03,9.82e+03]",5
Galway,Ground-floor apartment,H,"(3.65e+03,4.22e+03]",5
Dublin,Ground-floor apartment,I,"(4.78e+03,5.57e+03]",5
Dublin,Mid-floor apartment,B,"[324,2.5e+03]",5
Dublin,Top-floor apartment,H,"(3.65e+03,4.22e+03]",5
Limerick,Mid-floor apartment,I,"[324,2.5e+03]",5
Dublin,Top-floor apartment,H,"(3.1e+03,3.65e+03]",5
Dublin,Top-floor apartment,J,"(4.22e+03,4.78e+03]",5
Dublin,Top-floor apartment,I,"(4.22e+03,4.78e+03]",5
Dublin,Mid-floor apartment,G,"(3.1e+03,3.65e+03]",5
Waterford,Mid-floor apartment,I,"[324,2.5e+03]",5
Dublin,Mid-floor apartment,K,"(4.22e+03,4.78e+03]",5
Dublin,Semi-detached house,E,"(2.5e+03,3.1e+03]",5
Dublin,Semi-detached house,D,"(3.65e+03,4.22e+03]",5
Cork,Mid-terrace house,E,"(4.78e+03,5.57e+03]",5
Dublin,Mid-terrace house,B,"(4.78e+03,5.57e+03]",5
Dublin,End of terrace house,E,"(6.56e+03,7.83e+03]",5
Dublin,Semi-detached house,K,"(4.22e+03,4.78e+03]",5
Donegal,Semi-detached house,K,"[324,2.5e+03]",5
Galway,Semi-detached house,K,"[324,2.5e+03]",5
Roscommon,Semi-detached house,J,"(4.22e+03,4.78e+03]",5
Westmeath,Semi-detached house,J,"(4.22e+03,4.78e+03]",5
Sligo,Semi-detached house,J,"(4.78e+03,5.57e+03]",5
Carlow,Semi-detached house,J,"(2.5e+03,3.1e+03]",5
Laois,Semi-detached house,K,"[324,2.5e+03]",5
Meath,Semi-detached house,K,"(3.1e+03,3.65e+03]",5
Laois,Semi-detached house,J,"[324,2.5e+03]",5
Roscommon,Semi-detached house,J,"(3.1e+03,3.65e+03]",5
Dublin,Semi-detached house,J,"(4.78e+03,5.57e+03]",5
Monaghan,Semi-detached house,J,"(4.78e+03,5.57e+03]",5
Wicklow,End of terrace house,J,"(2.5e+03,3.1e+03]",5
Galway,End of terrace house,J,"(3.1e+03,3.65e+03]",5
Cork,Detached house,K,"(4.22e+03,4.78e+03]",5
Kerry,Detached house,K,"(4.22e+03,4.78e+03]",5
Longford,Detached house,J,"(4.78e+03,5.57e+03]",5
Carlow,Detached house,J,"(4.78e+03,5.57e+03]",5
Westmeath,Detached house,J,"(4.78e+03,5.57e+03]",5
Cavan,Mid-terrace house,J,"(3.1e+03,3.65e+03]",5
Tipperary,House,J,"(5.57e+03,6.56e+03]",5
Cork,House,J,"(3.1e+03,3.65e+03]",5
Donegal,House,J,"(7.83e+03,9.82e+03]",5
Clare,Semi-detached house,I,"(6.56e+03,7.83e+03]",5
Limerick,Semi-detached house,H,"(5.57e+03,6.56e+03]",5
Waterford,Semi-detached house,I,"(5.57e+03,6.56e+03]",5
Westmeath,Semi-detached house,G,"(5.57e+03,6.56e+03]",5
Clare,Semi-detached house,I,"(3.65e+03,4.22e+03]",5
Waterford,Semi-detached house,G,"(5.57e+03,6.56e+03]",5
Waterford,Semi-detached house,G,"(4.22e+03,4.78e+03]",5
Tipperary,Semi-detached house,G,"(4.78e+03,5.57e+03]",5
Tipperary,Semi-detached house,H,"(4.78e+03,5.57e+03]",5
Galway,Semi-detached house,G,"(3.65e+03,4.22e+03]",5
Tipperary,Semi-detached house,I,"(3.1e+03,3.65e+03]",5
Clare,Semi-detached house,H,"(7.83e+03,9.82e+03]",5
Kilkenny,Semi-detached house,I,"(3.1e+03,3.65e+03]",5
Louth,Semi-detached house,F,"(4.22e+03,4.78e+03]",5
Cavan,Semi-detached house,I,"(5.57e+03,6.56e+03]",5
Tipperary,Semi-detached house,I,"(4.22e+03,4.78e+03]",5
Westmeath,Semi-detached house,G,"(4.78e+03,5.57e+03]",5
Roscommon,Semi-detached house,J,"(5.57e+03,6.56e+03]",5
Kerry,Semi-detached house,G,"(6.56e+03,7.83e+03]",5
Offaly,Semi-detached house,F,"(7.83e+03,9.82e+03]",5
Carlow,Semi-detached house,F,"(7.83e+03,9.82e+03]",5
Clare,Semi-detached house,J,"(5.57e+03,6.56e+03]",5
Wicklow,Semi-detached house,F,"(3.1e+03,3.65e+03]",5
Donegal,Semi-detached house,G,"(6.56e+03,7.83e+03]",5
Offaly,Semi-detached house,J,"(4.22e+03,4.78e+03]",5
Longford,Semi-detached house,J,"(5.57e+03,6.56e+03]",5
Mayo,Semi-detached house,G,"(5.57e+03,6.56e+03]",5
Louth,Semi-detached house,H,"[324,2.5e+03]",5
Sligo,Semi-detached house,G,"(5.57e+03,6.56e+03]",5
Monaghan,Semi-detached house,I,"(3.65e+03,4.22e+03]",5
Cork,Semi-detached house,F,"(5.57e+03,6.56e+03]",5
Carlow,Semi-detached house,H,"(4.78e+03,5.57e+03]",5
Cork,Semi-detached house,G,"(7.83e+03,9.82e+03]",5
Laois,Semi-detached house,I,"(2.5e+03,3.1e+03]",5
Meath,Semi-detached house,I,"(5.57e+03,6.56e+03]",5
Kilkenny,Semi-detached house,I,"(4.22e+03,4.78e+03]",5
Kerry,Semi-detached house,H,"(6.56e+03,7.83e+03]",5
Kildare,Semi-detached house,I,"(2.5e+03,3.1e+03]",5
Wexford,Semi-detached house,I,"(3.65e+03,4.22e+03]",5
Cork,Semi-detached house,J,"[324,2.5e+03]",5
Roscommon,Semi-detached house,I,"(5.57e+03,6.56e+03]",5
Kerry,Semi-detached house,I,"(7.83e+03,9.82e+03]",5
Offaly,Semi-detached house,I,"(3.1e+03,3.65e+03]",5
Cavan,Semi-detached house,H,"(4.78e+03,5.57e+03]",5
Cork,End of terrace house,F,"(3.65e+03,4.22e+03]",5
Waterford,End of terrace house,I,"(3.1e+03,3.65e+03]",5
Dublin,End of terrace house,H,"(4.78e+03,5.57e+03]",5
Cork,End of terrace house,H,"(3.1e+03,3.65e+03]",5
Cork,End of terrace house,F,"(4.22e+03,4.78e+03]",5
Galway,End of terrace house,I,"(4.22e+03,4.78e+03]",5
Cork,End of terrace house,G,"(2.5e+03,3.1e+03]",5
Dublin,End of terrace house,I,"(4.78e+03,5.57e+03]",5
Louth,End of terrace house,I,"(2.5e+03,3.1e+03]",5
Galway,End of terrace house,I,"(3.1e+03,3.65e+03]",5
Louth,End of terrace house,I,"(3.65e+03,4.22e+03]",5
Cork,End of terrace house,F,"(4.78e+03,5.57e+03]",5
Sligo,Detached house,G,"(9.82e+03,3.55e+04]",5
Tipperary,Detached house,F,"(9.82e+03,3.55e+04]",5
Waterford,Detached house,G,"(4.22e+03,4.78e+03]",5
