County,DwellingTypeDescr,AgeBand,CO2_decile,N
Galway,Detached house,E,"(9.82e+03,3.55e+04]",27
Dublin,Semi-detached house,E,"(4.78e+03,5.57e+03]",27
Cork,Mid-terrace house,J,"[324,2.5e+03]",27
Kildare,Semi-detached house,H,"(4.22e+03,4.78e+03]",27
Dublin,Semi-detached house,I,"(4.78e+03,5.57e+03]",27
Galway,Semi-detached house,H,"(5.57e+03,6.56e+03]",27
Dublin,End of terrace house,G,"(3.65e+03,4.22e+03]",27
Dublin,Mid-terrace house,I,"(3.65e+03,4.22e+03]",27
Cork,Ground-floor apartment,J,"[324,2.5e+03]",26
Dublin,Semi-detached house,H,"(2.5e+03,3.1e+03]",26
Meath,Mid-terrace house,I,"(2.5e+03,3.1e+03]",26
Dublin,Semi-detached house,E,"(6.56e+03,7.83e+03]",25
Cork,Detached house,E,"(7.83e+03,9.82e+03]",25
Cork,Detached house,F,"(7.83e+03,9.82e+03]",25
Galway,Detached house,G,"(9.82e+03,3.55e+04]",25
Galway,Detached house,H,"(7.83e+03,9.82e+03]",25
Galway,Detached house,J,"(5.57e+03,6.56e+03]",25
Meath,Detached house,I,"(5.57e+03,6.56e+03]",25
Dublin,Ground-floor apartment,K,"(4.22e+03,4.78e+03]",25
Dublin,Mid-floor apartment,H,"(2.5e+03,3.1e+03]",25
Cork,Semi-detached house,I,"(2.5e+03,3.1e+03]",25
Dublin,Semi-detached house,G,"(2.5e+03,3.1e+03]",25
Dublin,Mid-terrace house,F,"(3.65e+03,4.22e+03]",25
Dublin,Semi-detached house,D,"(7.83e+03,9.82e+03]",24
Cork,Detached house,E,"(6.56e+03,7.83e+03]",24
Mayo,Detached house,B,"(9.82e+03,3.55e+04]",24
Cork,Detached house,F,"(6.56e+03,7.83e+03]",24
Wexford,Detached house,H,"(7.83e+03,9.82e+03]",24
Clare,Detached house,I,"(7.83e+03,9.82e+03]",24
Mayo,Detached house,I,"(7.83e+03,9.82e+03]",24
Galway,Detached house,I,"(5.57e+03,6.56e+03]",24
Dublin,Detached house,G,"(6.56e+03,7.83e+03]",24
Dublin,End of terrace house,J,"(2.5e+03,3.1e+03]",24
Dublin,Semi-detached house,F,"(5.57e+03,6.56e+03]",24
Dublin,Semi-detached house,F,"(4.78e+03,5.57e+03]",24
