Feature,Gain,Cover,Frequency
OBPumpInsideDwellingYES,3.39540433274923e-05,0.000485215942564173,0.000396458305801507
CountyNameCo__Galway,3.33714920770826e-05,0.000620007116974009,0.000396458305801507
TGDLEdition,2.22614788049196e-05,0.000109447205089663,0.000132152768600502
AgeBandC,2.19565140673292e-05,0.000948284161620526,0.000264305537201004
age_band_bin_1977_0__1982_0_,2.06208424944709e-05,5.04619414616942e-05,0.000264305537201004
CountyNameCo__Wicklow,1.95019381890679e-05,0.00036359717513858,0.000264305537201004
AgeBandH,1.94182490549821e-05,0.000418030209882288,0.000264305537201004
ThermalBridgingFactor,1.78697252249671e-05,0.000398626737829519,0.000264305537201004
CountyDublin,1.67110694366317e-05,0.000300253394493766,0.000132152768600502
AgeBandF,1.60917554810814e-05,5.866241051561e-05,0.000132152768600502
CountyNameCo__Offaly,1.50341174289043e-05,0.000530802802029248,0.000132152768600502
AgeBandD,1.47859381269925e-05,0.000501423168804589,0.000132152768600502
CountyKerry,1.23933923081837e-05,9.4660532543626e-05,0.000132152768600502
CountyNameDublin_4,1.19308398484917e-05,0.000529285392401161,0.000132152768600502
CountyNameCo__Clare,1.16796563315796e-05,0.000239072729701757,0.000132152768600502
CountyNameCo__Kilkenny,1.1228761313405e-05,0.000606511856877407,0.000264305537201004
VentilationMethodNatural_vent_,1.0734547474781e-05,8.66214900458897e-05,0.000132152768600502
PermeabilityTestResult,1.03571325620368e-05,0.000445440439121558,0.000132152768600502
CountyRoscommon,1.01680455516918e-05,0.000496031521828196,0.000132152768600502
CountyNameCo__Wexford,9.9104851253254e-06,0.000489057894601244,0.000132152768600502
CountyMayo,9.24265001007922e-06,8.06487074672503e-05,0.000132152768600502
UndergroundHeatingYES,8.57435714804346e-06,0.000256732794947788,0.000132152768600502
CountyNameCo__Laois,6.87902882161811e-06,0.000191581036873764,0.000132152768600502
MainWaterHeatingFuelBulk_LPG__propane_or_butane_,6.53154061540469e-06,0.000361175776795888,0.000132152768600502
CountyNameCo__Leitrim,6.00394918297911e-06,0.00040899032273624,0.000132152768600502
CountyWexford,5.5032590998203e-06,0.000391685395913803,0.000132152768600502
CountyNameCo__Westmeath,5.22410101206293e-06,0.00039139482811268,0.000132152768600502
CountyCork,5.12316818055107e-06,2.79590795302797e-05,0.000132152768600502
CountySligo,4.44494483079493e-06,0.000350295626909394,0.000132152768600502
