row_id,upgrade,delta_CO2,rank,score
1,insulation_wall,384.456163641703,1,384.456163641703
1,windows,63.7556243378513,2,63.7556243378513
1,insulation_roof,46.0711594753284,3,46.0711594753284
2,insulation_wall,1131.90327944761,1,1131.90327944761
2,insulation_roof,804.486034955888,2,804.486034955888
2,windows,0,3,0
3,insulation_wall,709.253629628794,1,709.253629628794
3,windows,119.487012701111,2,119.487012701111
3,insulation_roof,18.8329870183443,3,18.8329870183443
4,insulation_wall,145.748398066467,1,145.748398066467
4,insulation_roof,16.4040645955356,2,16.4040645955356
4,windows,0,3,0
5,insulation_wall,696.15067555364,1,696.15067555364
5,insulation_roof,71.7619474725252,2,71.7619474725252
5,windows,7.89949113344392,3,7.89949113344392
6,insulation_wall,1400.44011318629,1,1400.44011318629
6,insulation_roof,479.629780931133,2,479.629780931133
6,windows,0,3,0
7,insulation_wall,1274.19087668718,1,1274.19087668718
7,windows,299.943359869545,2,299.943359869545
7,insulation_roof,234.356405960396,3,234.356405960396
8,insulation_wall,1051.86735666567,1,1051.86735666567
8,insulation_roof,620.985858111295,2,620.985858111295
8,windows,5.81071796285687,3,5.81071796285687
9,insulation_wall,400.677730382896,1,400.677730382896
9,windows,81.3482407812489,2,81.3482407812489
9,insulation_roof,20.9354992303324,3,20.9354992303324
10,insulation_wall,232.201080602352,1,232.201080602352
10,insulation_roof,31.2646025858876,2,31.2646025858876
10,windows,11.8291304214454,3,11.8291304214454
11,insulation_wall,171.408566182727,1,171.408566182727
11,windows,67.1130114371367,2,67.1130114371367
11,insulation_roof,50.8470831951568,3,50.8470831951568
12,insulation_wall,456.438431422133,1,456.438431422133
12,insulation_roof,133.297663578714,2,133.297663578714
12,windows,53.5710757312591,3,53.5710757312591
13,insulation_wall,271.91117789745,1,271.91117789745
13,windows,142.580516332483,2,142.580516332483
13,insulation_roof,32.8257496936631,3,32.8257496936631
14,insulation_wall,256.648444480448,1,256.648444480448
14,windows,125.913770463385,2,125.913770463385
14,insulation_roof,7.13114352928642,3,7.13114352928642
15,insulation_wall,159.989235109871,1,159.989235109871
15,windows,35.0376045878766,2,35.0376045878766
15,insulation_roof,13.0678132297589,3,13.0678132297589
16,insulation_wall,555.811308870402,1,555.811308870402
16,windows,57.8417719356767,2,57.8417719356767
16,insulation_roof,29.7992784430535,3,29.7992784430535
17,insulation_wall,134.848009438835,1,134.848009438835
17,windows,127.135667392316,2,127.135667392316
17,insulation_roof,120.965767801031,3,120.965767801031
18,insulation_roof,90.6122115012381,1,90.6122115012381
18,insulation_wall,26.6648403030899,2,26.6648403030899
18,windows,24.9719515637712,3,24.9719515637712
19,insulation_wall,943.112062746464,1,943.112062746464
19,insulation_roof,128.838756575578,2,128.838756575578
19,windows,0,3,0
20,insulation_wall,1070.60087526196,1,1070.60087526196
20,insulation_roof,433.741188977956,2,433.741188977956
20,windows,52.8237250172661,3,52.8237250172661
21,insulation_wall,1181.35288967292,1,1181.35288967292
21,insulation_roof,432.21028302872,2,432.21028302872
21,windows,0,3,0
22,insulation_wall,744.242527334818,1,744.242527334818
22,insulation_roof,241.704315472971,2,241.704315472971
22,windows,0,3,0
23,insulation_roof,974.125132836356,1,974.125132836356
23,insulation_wall,861.352816779807,2,861.352816779807
23,windows,0,3,0
24,insulation_roof,115.966241000371,1,115.966241000371
24,insulation_wall,77.3662511856501,2,77.3662511856501
24,windows,31.8283061039338,3,31.8283061039338
25,insulation_wall,1069.17097509934,1,1069.17097509934
25,insulation_roof,431.066174024842,2,431.066174024842
25,windows,59.7679181760304,3,59.7679181760304
26,insulation_wall,284.505691398442,1,284.505691398442
26,insulation_roof,108.140307628565,2,108.140307628565
26,windows,0,3,0
27,insulation_wall,505.475976457214,1,505.475976457214
27,insulation_roof,140.474992036423,2,140.474992036423
27,windows,0,3,0
28,insulation_wall,803.860101855909,1,803.860101855909
28,insulation_roof,422.441229798211,2,422.441229798211
28,windows,0,3,0
29,insulation_wall,1346.20855617454,1,1346.20855617454
29,insulation_roof,738.885768121405,2,738.885768121405
29,windows,0,3,0
30,insulation_wall,627.248927300985,1,627.248927300985
30,insulation_roof,365.030378993371,2,365.030378993371
30,windows,0,3,0
31,insulation_wall,724.960938044762,1,724.960938044762
31,insulation_roof,295.326039816428,2,295.326039816428
31,windows,0,3,0
32,insulation_wall,608.383917363856,1,608.383917363856
32,insulation_roof,44.7161113493958,2,44.7161113493958
32,windows,0,3,0
33,insulation_wall,100.080833080444,1,100.080833080444
33,windows,64.5042231723974,2,64.5042231723974
33,insulation_roof,59.8005565289104,3,59.8005565289104
34,insulation_wall,134.948143868457,1,134.948143868457
34,insulation_roof,43.1126981274601,2,43.1126981274601
34,windows,42.5032227631627,3,42.5032227631627
35,windows,165.353954873668,1,165.353954873668
35,insulation_roof,119.217898778839,2,119.217898778839
35,insulation_wall,52.6520298593086,3,52.6520298593086
36,insulation_roof,600.165456704444,1,600.165456704444
36,windows,404.331128687993,2,404.331128687993
36,insulation_wall,273.060938827724,3,273.060938827724
37,insulation_wall,122.370079773598,1,122.370079773598
37,insulation_roof,11.0761857559469,2,11.0761857559469
37,windows,0,3,0
38,insulation_wall,419.250669163099,1,419.250669163099
38,windows,184.34180734254,2,184.34180734254
38,insulation_roof,92.4340055794783,3,92.4340055794783
39,insulation_roof,238.787844130758,1,238.787844130758
39,insulation_wall,213.96445588975,2,213.96445588975
39,windows,62.9178184890188,3,62.9178184890188
40,insulation_wall,130.618499083547,1,130.618499083547
40,windows,3.63042171356756,2,3.63042171356756
40,insulation_roof,0,3,0
41,insulation_wall,261.759784099902,1,261.759784099902
